Redewendung,Bedeutung,Beispiel
eine Tonart anschlagen,sich auf bestimmte Weise äußern,"Wir werden eine härtere Tonart anschlagen müssen, um unsere Interessen durchzusetzen. Der Offizier wollte hochfahren, dann besann er sich und schlug eine neue Tonart an."
etwas in die Tonne treten,"etwas zunichte, zu etwas Vergangenem machen","Ich konnte das Programm zu 90 Prozent in die Tonne treten und neu schreiben. Souverän wäre es gewesen, hätte er die Pläne nicht nur auf Eis gelegt, sondern sie ganz in die Tonne getreten."
für die Tonne,"umsonst; verdorben, verloren, kaputt","Das ist doch wieder eine Reform für die Tonne. Wer nicht glaubt, die Aktie ist für die Tonne, muss zugreifen. Hose, schlank, Tüte."
Top oder Flop,ein Erfolg oder kein Erfolg,Senatswahlen in New York – Top oder Flop für Hillary Clinton?.
jeder Topf findet seinen Deckel; für jeden Topf findet sich ein Deckel,für jeden findet sich ein passender Lebenspartner,"Sie ist schon bald dreißig und hat immer noch keinen Mann! – Nur Geduld, für jeden Topf findet sich ein Deckel."
auf den Topf müssen/gehen,zur Toilette müssen/gehen,"Ich geh mal eben auf den Topf, bestellt bitte ein Bier für mich mit!"
auf dem Topf sein/sitzen,auf der Toilette sein,"Wann kommt denn euer Opa? – Der ist gerade auf dem Topf, das dauert noch ein bisschen. Vgl. die vorangehende Wendung."
in alle Töpfe gucken; seine Nase in alle Töpfe stecken,sehr neugierig sein,"Er kanns nicht lassen, er muss in alle Töpfe gucken. Wer wie du seine Nase in alle Töpfe steckt, der weiß doch genau, was hier im Dorf vorgeht."
alle in einen Topf werfen,"1. alle gleich behandeln oder beurteilen, ohne auf die vorhandenen Unterschiede zu achten","Man darf die jungen Leute nicht alle in einen Topf werfen, es gibt auch sehr anständige darunter."
alle in einen Topf werfen,"2. alles durcheinanderbringen, verwechseln","Du wirfst wieder alles in einen Topf Nicht ich habe im Lotto gewonnen, sondern mein Bruder, und nur er ist nach Mexiko gefahren. zusammenpassen."
vor Topp und Takel,ohne Segel,Das Schiff trieb vor Topp und Takel im Sturm.
ein Spiel auf ein Tor,"ein Spiel, das von einer Mannschaft so überlegen geführt wird, dass der Gegner sich ganz auf die Verteidigung beschränken muss","Es entwickelte sich ein Spiel auf ein Tor, unterbrochen von seltenen Hamburger Kontern."
nach Torschluss,1. zu spät,"Wie immer ist ihr erst nach Toresschluss eingefallen, dass sie auch an dem Wettbewerb teilnehmen wollte."
tote Hose,"1. Langeweile, das Fehlen von Unterhaltung, interessanten Aktivitäten",Wie wars im Urlaub? – Total tote Hose!
tote Hose,"2. Versager, langweiliger Mensch",War das ein öder Abend – der Typ ist echt ’ne tote Hose.
tot und begraben sein,in Vergessenheit geraten sein,"Ein ähnliches Projekt war mal geplant, aber das ist längst tot und begraben."
die Toten ruhen lassen,über Tote nicht mehr reden,"Sein Großvater war schon ein merkwürdiger Mensch, aber man soll die Toten ruhen lassen."
"ein Lärm/Krach, um Tote aufzuwecken",ein sehr großer Lärm/Krach,"Wie kann sie so fest schlafen, wenn auf der Straße ein Lärm ist, um Tote aufzuwecken!"
von den/über die Toten nur gut sprechen/Gutes sagen,Kritik an Verstorbenen ist zu unterlassen.,
dem Totengräber von der Schippe gehüpft sein,dem Tod gerade noch entronnen sein,"Die Operation war riskant, aber sie ist dem Totengräber noch einmal von der Schippe gehüpft."
nicht totzukriegen sein,"alles unbeschadet überstehen, was eigentlich zum Verschwinden, Nachlassen, Entzweigehen hätte führen müssen",Der deutsche Schlager ist nicht totzukriegen. Der Klassiker Jeans ist nicht totzukriegen und erlebt seit einigen Jahren ein einzigartiges Comeback.
zum Totlachen,äußerst komisch,"Wenn man sich nur anguckt, wie neulich bei der Nominierung alle geweint haben – fand ich zum Totlachen!."
es hat sich schon mal einer totgemischt,"Kommentar, wenn der Gebende zu lange mischt.",
dafür lasse ich mich totschlagen,das ist ganz sicher,"Er hat bei der Prüfung nicht betrogen, dafür lasse ich mich totschlagen! Zeit."
eine krumme Tour,eine Betrügerei,Du hast doch schon wieder irgend eine krumme Tour vor! Denn auch wenn eine mutmaßliche Betrügerin nun hinter Gittern sitzt Die nächste krumme Tour ist gewiss schon geplant.
auf Trab sein,sehr viel zu tun haben; nicht zur Ruhe kommen,Die letzten beiden Wochen waren die Verkäuferinnen ganz schön auf Trab; das Weihnachtsgeschäft macht sich schon bemerkbar.
eine Tracht Prügel,Prügel,"Wenn wir etwas sagen würden, gäbe es höchstens eine Tracht Prügel für uns."
zum Tragen kommen,wirksam werden,"Es sind oft unbewusste Faktoren, die bei der Entscheidung des Käufers zum Tragen kommen. Es gibt Unterschiede, aber sie kommen unter normalen Betriebsbedingungen kaum zum Tragen. Bedenken, Bündel, Eule, Frucht, Gedanke, Grab, Hand, Haut, Herz, Holz, Hose, Kirche, Knochen, Kopf, Marschallstab, Nase, Päckchen, Rechnung, Schau, Schulter, Sorge, Teil, Vorsorge."
im Tran,1. geistesabwesend,Jetzt habe ich im Tran meine Armbanduhr mit der Wäsche in die Waschmaschine gestopft!
Tränen lachen,sehr ausgelassen lachen,"Wir lachten Tränen, als der Clown sich auf die Torte setzte. Katharina lachte Tränen, selbst Christine verzog den Mund."
blutige Tränen weinen,tiefen Schmerz empfinden,"Heute seid ihr froh und unbekümmert, aber bald werdet ihr blutige Tränen weinen, wenn ihr meine Warnungen nicht beachtet!"
"jemandem, einer Sache keine Träne nachweinen","jemandem, einer Sache nicht nachtrauern",Kaum jemand wird den alten Steuergesetzen eine Träne nachwei nen. Nun ist er eben tot. Aber es weinte ihm auch keiner große Tränen nach.
sich in Tränen auflösen; in Tränen schwimmen; in Tränen zerfließen,anhaltend weinen,"Wie soll man mit ihm diskutieren, wenn er sich bei der kleinsten Kritik in Tränen auflöst! Die Komtess zerfloss in Tränen, nachdem sie den Brief ihres Verlobten gelesen hatte."
mit einer Träne im Knopfloch,gerührt,"Ein Genuss mit Herz, ein Ausflug in die Nostalgie mit einer Träne im Knopfloch."
auf die Tränendrüse drücken,sehr rührselig sein,"Gegen Ende drückt der Film mächtig auf die Tränendrüsen, wenn der Held im Sterben liegt und großmütig seinem Gegenspieler alle Gemeinheiten verzeiht. Im USFernsehen drückte Jimmy Carter Ende November auf die Tränendrüse."
etwas aufs Trapez bringen,"etwas ansprechen, von etwas reden","Immer, wenn ich mal ein Bierchen trinken will, bringt sie meinen Onkel Eduard aufs Trapez, der Alkoholiker war."
jemandem/dem Fuchs hängen die Trauben zu hoch/sind die Trauben zu sauer,"jemand tut so, als wolle er etwas nicht haben, das er in Wirklichkeit doch möchte, aber nicht erreichen kann","Er hat dir gesagt, er sei an diesem Geschäft gar nicht mehr interessiert? Dem Fuchs hängen die Trauben zu hoch! Keiner wollte in dieses Projekt investieren; angesichts der ausländischen Konkurrenz waren den einheimischen Firmen die Trauben zu sauer."
die Trauben hängen zu hoch,etwas ist nicht zu erreichen,Im Endspiel um die Europameisterschaft hingen die Trauben für unsere Mannschaft zu hoch. Vgl. die vorangehende Redensart.
der Traum meiner schlaflosen Nächte,mein sehnlichster Wunsch,"Schau dir dieses herrliche Biedermeiersofa an, so etwas war schon immer der Traum meiner schlaflosen Nächte!"
Träume sind Schäume,"was man geträumt hat, muss nicht wahr werden","Ich habe geträumt, dass wir am Samstag sechs Richtige im Lotto haben werden. – Na, wenn schon; Träume sind Schäume."
du träumst wohl!,du bist wohl nicht recht bei Verstand!,"Hast du meinen Kuli genommen? – Du träumst wohl, ich geh doch nicht an deine Sachen, ohne dich zu fragen!"
und wovon/was träumst du nachts?,"denie Ansicht über das Erreichbare, deine Vorstellungen sind sehr unrealistisch",Deine Tante würde uns sicher das Geld für eine neues Auto leihen. – Und wovon träumst du nachts? Dazu ist die doch viel zu geizig!
jemanden ins Traumland schicken,jemanden schlagen,Mit einem rechten Haken schickte er den Herausforderer ins Traumland.
da ist Treff Trumpf,"der Ausgang ist ungewiss, man kann Glück haben oder nicht","Bei so einem Wettbewerb ist Treff Trumpf, alles hängt von einer günstigen Auslosung ab."
es gut/schlecht getroffen haben,"sich in guten/schlechten Verhältnissen, Lebensumständen befinden","Inzwischen ist Aldo of Glamis Castle ein gesunder, vergnügter, sehr gehorsamer Hund geworden, der es bei seinen Leuten gut getroffen hat. Gut getroffen hatten es unter diesen Umständen die Schwimmer und Tischtennisspieler, die ihre Wettkämpfe in Hallen austragen durften. In vielen Büchern waren die Hauptpersonen Kinder, die es im Leben schlecht getroffen hatten. Anstalten, arm, Blitz, Donner, Herz, Hund, Nagel, Schlag, schwarz, Vorsorge, Weg."
etwas ins Treffen führen,etwas als Argument vorbringen,"Was immer Sie auch für Ihren Plan ins Treffen führen mögen, ich halte ihn in jeder Hinsicht für ausgesprochen unmoralisch. Unsere Stärke ist die Masse. Ergo – muss man sie auch ins Treffen führen."
einen klaren/deutlichen Trennungsstrich ziehen,eine deutliche Unterscheidung treffen,"Zwischen unserer Freundschaft und unseren geschäftlichen Abmachungen müssen wir einen klaren Trennungsstrich ziehen. Der Autor bemühte sich, einen deutlichen Trennungsstrich zwischen den historischen Fakten und den Darstellungen der Zeitgenossen zu ziehen."
die Treppe hinauffallen/rauffallen/hochfallen,einen plötzlichen und unerwarteten Aufstieg erleben,"Denn wenn ich abgelöst werde, falle ich bestimmt die Treppe hinauf, werde Obermedizinalrat und brauche gar nichts mehr zu tun."
die Treppe hinuntergefallen/runtergefallen sein,die Haare geschnitten bekommen haben,"Na, Junge, hats dich erwischt? Biste mal wieder die Treppe runtergefallen?"
"jemandem/jemanden in den Arsch treten, jemandem unter die Augen treten auf Treu und Glauben",vertrauend,"Er hat dir das Darlehen auf Treu und Glauben gewährt, enttäusche ihn nicht!"
in guten Treuen,1. im guten Glauben,"Der unterliegende Aktionär kann daher, wenn er in guten Treuen geklagt hat, erwarten, die Kosten nicht oder nur teilweise tragen zu müssen."
in guten Treuen,"2. aufrichtig, mit gutem Gewissen","Die Zersplitterung der Kirche ist bedauerlich, doch sie ist Folge davon, dass die meisten Texte der Bibel in guten Treuen auf verschiedene Weise ausgelegt werden können."
auf den Trichter kommen,die Lösung eines Problems finden; etwas herausfinden,"Zwei Stunden habe ich an diesem Zauberwürfel herumprobiert, dann bin ich endlich auf den richtigen Trichter gekommen. Und mittlerweile sind auch die ausländischen Firmen auf den Trichter gekommen, dass man in Old Germany am sichersten und billigsten abkippt. Vgl. die vorangehende Wendung. Nürnberger."
Trick siebzehn,der richtige Kniff,Die Lampe brennt ja wieder! Wie hast du das gemacht? – Trick siebzehn!
einen Triller haben,nicht recht bei Verstand sein,Du hast doch ’nen Triller unterm Pony! Du kannst doch nicht einfach ein Krokodil in der Badewanne halten!
trinken/saufen wie ein Bürstenbinder,große Mengen Alkohol trinken,Der alte Kapitän konnte trinken wie ein Bürstenbinder.
einen trinken,Alkohol trinken,"Nach Büroschluss geht er mit seinen Kollegen erst noch einen trinken, be vor er nach Hause kommt. Vielleicht trinke ich noch einen und gehe dann zu der Stelle. Brüderschaft, Dachrinne, Essen, Glas, Quasselwasser, saufen, Schlabberwasser, Schmollis, Tisch, Verstand, Wasser, Wohl, Zielwasser. Getränke werden in vielen Kontexten als sprachliche Bilder für Tätigkeiten jenseits des Trinkens eingesetzt. Wenn etwas angepriesen wird wie sauer"
jemanden aus dem Tritt bringen,"jemanden aus dem Gleichgewicht, aus den geregelten, gewohnten Bahnen bringen",Die Niederlage gegen den Sportclub hat Fortuna wohl etwas aus dem Tritt gebracht.
aus dem Tritt geraten,"aus dem Gleichgewicht, aus den geregelten, gewohnten Bahnen geraten","Die Konjunktur in Deutschland ist aus dem Tritt geraten, aber kaum einer hat es gemerkt. Wenn eine Volleyball-Mannschaft aus dem Tritt geraten ist und man sich neu abstimmen oder konzentrieren muss, dann kann sie eine Auszeit nehmen."
Triumphe feiern,sehr große Erfolge haben,"Er hatte die schöne Isa Thibauld entdeckt und gefördert, die zurzeit am Königlichen Schauspielhause in Berlin Triumphe feierte."
trocken Brot macht Wangen rot,"eine einfache, karge Nahrung ist gesund.",
auf dem Trockenen sitzen,"1. seine Reserven aufgebraucht haben; handlungsunfähig sein, nicht mehr weiterwissen","Wir würden Ihnen ja gerne noch Heizöl liefern, aber wir sitzen selbst auf dem Trockenen. Nach dem Misserfolg mit dem neuen Modell sitzt die Firma finanziell ziemlich auf dem Trockenen."
auf dem Trockenen sitzen,2. nichts mehr zu trinken haben,"Gib mal die Flasche rüber, mein Freund hier sitzt schon seit zehn Minuten auf dem Trockenen."
in trockenen Tüchern sein,"gesichert, erfolgreich abgeschlossen, erreicht worden sein","Ende April sei immer erst etwa ein Drittel der Ausbildungen in trockenen Tüchern. Doch die Bundeszuschüsse betreffend, ist das Projekt noch immer nicht in trockenen Tüchern."
etwas in trockene Tücher bringen,ein Vorhaben zu einem erfolgreichen Abschluss bringen,"Bis zum Juli muss die Fusion nun in trockene Tücher gebracht werden, damit sie noch rückwirkend zum 1. Januar 2005 in Kraft treten kann. Auge, Faden, fühlen, Karo, Kehle, Leber, Luft, Ohr, Schäfchen."
in die Trompete stoßen,"prahlen, großsprecherisch reden","Gerade er sollte nicht so kräftig in die Trompete stoßen, wenn von finanzieller Solidität die Rede ist! Pauke."
am Tropf hängen,1. eine Tropfinfusion bekommen,"Schließlich sollte man auch nicht erst dann an einem Erbschaftsvertrag feilen, wenn man im Krankenhaus am Tropf hängt."
am Tropf hängen,2. von Zuwendungen anderer abhängig sein,"Wer ökonomisch am Tropf hängt, kann schlecht militärische Drohkulissen gegen seine Geldgeber aufbauen."
"an jemandes Tropf, am Tropf von etwas hängen","von jemandes Zuwendungen, von den Zuwendungen von etwas abhängig sein",Hunderttausende nominell unabhängiger Landwirte hängen am Tropf der subventionierten staatlichen Vermarktungsorganisation. Die meisten Vereine hängen am Tropf zwielichtiger Sponsoren und unberechenbarer Mäzene.
jemandem tropft der Zahn,"jemand hat großen Appetit auf etwas, großes Verlangen nach etwas",Beim Anblick der vielen Kuchen und Torten tropfte mir der Zahn.
steter Tropfen höhlt den Stein,Geduld und Hartnäckigkeit beseitigen auch unüberwindlich scheinende Hindernisse.,
ein Tropfen auf den/auf einen/auf dem heißen Stein sein,viel zu wenig sein,"Eine Million ist nur ein Tropfen auf den heißen Stein, wenn es darum geht, ein so gigantisches Industrieunternehmen zu sanieren. Angesichts des Elends in der Welt ist jede noch so erfolgreiche Spendenaktion immer nur wie ein Tropfen auf einen heißen Stein."
seinen Trotzkopf aufsetzen,"schmollen, trotzig sein","Sie braucht gar nicht ihren Trotzkopf aufzusetzen, es gibt kein Eis mehr vor dem Essen!"
im Trüben fischen,unklare Zustände zum eigenen Vorteil ausnutzen,"In den Zeiten des Umsturzes gab es nicht wenige, die versuchten, im Trüben zu fi schen und schnell reich zu werden. Ich soll im Trüben fischen? Einen Menschen brutal ausbeuten?."
Trübsal blasen,in trauriger Stimmung sein,"Kinder, hört auf, Trübsal zu blasen, ich geb einen aus! Sie blasen Trübsal und laufen wie ein krankes Huhn mit hängendem Kopf herum."
in Trümmer gehen,zerstört werden,"Alle Fensterscheiben sind bei der Explo sion in Trümmer gegangen. Diese fundamentale Entdeckung kam nicht von ungefähr zu einer Zeit, da auch die europäische Völkerfamilie in Trümmer gegangen war."
etwas in Trümmer legen,etwas völlig zerstören,Die gewaltige Explosion einer Feuerwerksfabrik hat ein Wohngebiet im niederländischen Enschede in Trümmer gelegt.
Trumpf ist die Seele des Spiels!,Kommentar beim Ausspielen eines Trumpfes.,
Trumpf sein,aktuell sein,"Gesund und lokal sind Trumpf. Fokus auf Geschäftskunden ist Trumpf. Rund 61 Prozent der Start-ups, die eine Finanzierung erhielten, richten sich laut Engelmann an Geschäftskunden."
"wissen, was Trumpf ist","sich auskennen, Bescheid wissen","Er ist noch zu neu in dem Geschäft und weiß nicht, was Trumpf ist."
keinen Trumpf mehr/einen Trumpf in der Hand haben,keinen Vorteil mehr/einen Vorteil für sich haben,"Nachdem der Entlastungszeuge seine Aussage widerrufen hatte, hatte die Verteidigung keinen Trumpf mehr in der Hand. Mit dem routinierten Torjäger auf der Ersatzbank hatte die Gastmannschaft noch einen Trumpf in der Hand."
