Idiom,Meaning,Meaning_translated_KR
take into account,to consider or factor in when making a decision or judgment,결정을 내리거나 판단할 때 고려하다 또는 감안하다
take it easy,to relax and not worry or stress,긴장을 풀고 걱정하거나 스트레스를 받지 않다
take it from me,to trust and rely on my personal knowledge or experience,내 개인적인 지식이나 경험을 믿고 의지하다
take it on the chin,to accept or endure adversity or criticism without complaint or becoming discouraged,불만이나 낙담하지 않고 역경이나 비판을 받아들이거나 견디다.
take it on the lam,"to flee or escape, especially from the law or a dangerous situation","도망치다 또는 탈출하다, 특히 법률이나 위험한 상황에서"
take it or leave it,to accept something as it is or reject it without negotiation,어떤 것을 그대로 받아들이거나 협상 없이 거부하다
take it with a grain of salt,to not completely believe or trust something; to be skeptical or cautious about the information given,무언가를 완전히 믿거나 신뢰하지 않다; 주어진 정보에 대해 회의적이거나 조심스럽다.
take liberties,to behave inappropriately or to take advantage of a situation or person,부적절하게 행동하다 또는 상황이나 사람을 이용하다
take no prisoners,"to be ruthless and uncompromising, showing no mercy or compassion","무자비하고 타협하지 않으며, 자비나 연민을 보이지 않다"
take one's hat off to someone,to show admiration or respect for someone's achievements or qualities,누군가의 업적이나 자질에 대해 감탄하거나 존경을 표시하다
take over,to assume control or responsibility for something or someone; to dominate or overpower someone or something,무엇인가 또는 누군가에 대한 통제나 책임을 맡다; 누군가 또는 무언가를 지배하거나 압도하다
take root,"to become established, settled, or ingrained, often referring to ideas, beliefs, or habits that become deeply rooted or firmly established","확립되다, 정착되다 또는 뿌리내리다; 종종 사상, 신념 또는 습관이 깊이 뿌리내리거나 확고히 자리잡는 것을 가리킴"
take someone for a ride,to deceive or trick someone; to exploit or take advantage of someone,누군가를 속이거나 기만하다; 누군가를 이용하거나 착취하다
take someone to task,to criticize or reprimand someone for their actions or behavior,누군가의 행동이나 태도에 대해 비판하거나 꾸짖다
take someone to the cleaners,"to take advantage of someone, often in a financial sense; to exploit or cheat someone out of their money or possessions","누군가를 이용하다, 주로 금전적인 의미에서; 누군가의 돈이나 소유물을 착취하거나 속이다."
take someone's life,to kill someone,누군가를 죽이다
take someone's word for it,To believe or trust someone's statement or promise without any proof or evidence,증거나 증거 없이 누군가의 진술이나 약속을 믿거나 신뢰하다
take something as read,to accept or assume something as true or certain without further evidence or proof,추가적인 증거나 증명 없이 어떤 것을 사실로 받아들이거나 당연하게 여기다.
take stock,to assess or evaluate a situation,상황을 평가하다 또는 평가하다
take the biscuit,"to be the most surprising, outrageous, or ridiculous thing","가장 놀랍거나, 터무니없거나, 말도 안 되는 것이다"
take the bit between one's teeth,"to take initiative and act independently, often in a determined or forceful manner","주도적으로 행동하고 독립적으로 움직이다, 종종 결단력 있게 또는 강력하게."
take the bull by the horns,to face a difficult situation head-on and take decisive action,어려운 상황에 정면으로 맞서고 단호한 조치를 취하다
take the cake,"to be the epitome of a particular quality, usually in a negative or undesirable way","특정한 특성의 전형이 되다, 일반적으로 부정적이거나 바람직하지 않은 방식으로"
take the count,to be knocked unconscious in a boxing match,복싱 경기에서 기절하다
take the fall,"to take the blame or responsibility for something, often to protect someone else or to avoid further consequences",누군가를 보호하거나 추가적인 결과를 피하기 위해 무언가에 대한 책임이나 비난을 떠맡다.
take the fifth,"to refuse to answer a question, especially in a legal proceeding, in order to avoid self-incrimination",특히 법정에서 자기 방어를 피하기 위해 질문에 답변을 거부하다
take the floor,to be the center of attention and speak or perform in a public setting,관심의 중심이 되어 공개적인 자리에서 말하거나 공연하다
take the gilt off the gingerbread,to reveal the negative or less appealing aspects of something that initially seemed appealing or attractive,처음에는 매력적으로 보였던 것의 부정적이거나 덜 매력적인 측면을 드러내다.
take the liberty,to act without permission or to do something not commonly done without fear of consequences,허락 없이 행동하다 또는 결과에 대한 두려움 없이 일반적으로 하지 않는 일을 하다
take the mickey,to make fun of or mock someone or something in a lighthearted or teasing manner,가볍고 놀리는 방식으로 누군가 또는 어떤 것을 조롱하거나 비웃다.
take the piss,"to mock or tease someone, often in a playful or lighthearted manner","누군가를 놀리거나 희롱하다, 종종 장난스럽거나 가벼운 마음으로"
take the plunge,to make a bold or risky decision or commitment,대담하거나 위험한 결정을 내리다; 헌신하다
take the rough with the smooth,to accept both the good and the bad parts of a situation,상황의 좋은 부분과 나쁜 부분을 모두 수용하다
take the wind out of someone's sails,to deflate or undermine someone's confidence or enthusiasm by outperforming or disproving them,누군가의 자신감이나 열정을 능가하거나 반증함으로써 꺾거나 약화시키다.
take to something like a duck to water,to learn or adapt to something very quickly and easily,어떤 것에 아주 빠르고 쉽게 배우거나 적응하다
take to the hills,to flee or escape quickly; to run away or hide from a dangerous or threatening situation,빠르게 도망치다; 위험하거나 위협적인 상황에서 도망가거나 숨다
take turns,to alternate or share something with someone else,다른 사람과 무언가를 번갈아 사용하거나 나누다
take up the cudgels,to take a stand or defend a cause vigorously,입장을 취하거나 강력하게 대의를 옹호하다
take up the gauntlet,"to accept a challenge or invitation, especially in a determined or defiant manner","도전이나 초대를 수락하다, 특히 단호하거나 도전적인 태도로"
take with a grain of salt,to not completely believe or trust something; to be skeptical or doubtful about something,무언가를 완전히 믿거나 신뢰하지 않다; 무언가에 대해 회의적이거나 의심하다
