Idiom,Meaning,Meaning_ar
ال عهد له بِـ,"Not to know something, not have experienced something, being unacquainted with",عدم معرفة شيء، عدم تجربة شيء، عدم الإلمام بشيء
ال غبار عليه,"Clear, plain, incontestable, impeccable (morally)",واضح، بسيط، لا يُدحض، لا تشوبه شائبة (أخلاقياً)
ال غَنَاء فيه,"Useless, it is inadequate, it is of little use",عديم الفائدة، إنه غير كافٍ، إنه قليل النفع
ال غنى عنه,Indispensable,لا غِنى عنه
ال غير,"And that’s all, no more, only",وهذا كل شيء، لا أكثر، فقط
ال فتيل وال نقيل,"Nothing at all, not the least bit",لا شيء على الإطلاق، ولا حتى القليل
َال ف ُ ضَّ ف ُ وك,How well you have spoken!,ما أَحسَنَ ما تَكَلَّمت!
ال في العير وال في النفير,"In no way, in no manner, unimportant, of no consequence",بِأيِّ حالٍ من الأحوال، غير مُهِم، بلا أهمية
ال قام وال قعد,Not be lasting and durable,غير دائم وغير متين
ال قِبَل له به,"He has no power over it, it is not in his power, he is incapable of accomplishing it",ليس لديه سلطة عليه، ليس في قدرته، هو غير قادر على إنجازه.
ال قدّر هللا,(which) God forbid!,(لا قدّر الله!)
ال قرارَ له,"Unstable, inconstant, unfathomable",غير مستقر، متقلب، غامض
ًال قطعا,"Absolutely not, not at all, by no means, not in the least",بالطبع لا، على الإطلاق، بأي حال من الأحوال، ليس على الإطلاق
َال قوة له وال حَيْل,Completely helpless and paralysed,عاجز تمامًا ومشلول
ال قيمةَ له,Worthless,عديم القيمة
ال مأخذ فيه,"Flawless, irreproachable",لا غبار عليه، لا يُعاب
(ال مانع )عن,"There is nothing in the way, nothing prevent me (you...) from",لا يوجد شيء في الطريق، لا شيء يمنعني (يمنعك...) من
ال مباالة,Indifference,لا مُبالاة
ال مبرر له,Unjustifiable,غير مبرر
ال مثيل له,"Incomparable, matchless, unrivalled, unparalleled",لا يُضاهى، لا يُبارى، لا يُنافَس، لا يُقارَن
ال مجال لِـ,There is no possibility of or for,لا توجد إمكانية لـ
ال مجال للطعن فيه,It is incontestable,لا يُمكن إنكاره
َال محالة,"It is inevitable, there is no doubt about it",إنه أمر لا مفر منه، لا شك في ذلك.
ال محالةَ منه,"It is inevitable, there is no doubt about it, absolutely, most certainly",إنه أمر لا مفر منه، لا شك في ذلك، بالتأكيد، بكل تأكيد
ال محلَّ لِـ,"There is no room for, it is out of place",لا مَجال لَهُ، إنَّهُ في غَير مَكانِه
ال محيدَ عنه,It is unavoidable,لا مَفرّ منه
ال مخرجَ منه,Hopeless situation,وَضع يائِس
(ال مراء فيه )بال مراء,"Incontestable, indisputable",لا يُدحَض، لا يُجَدَل فيه
. . . ال مراء فيه أن,"It is an incontrovertible fact that, unquestionably...",إنه لَحَقيقة لا جِدال فيها، وبلا شك...
. . . ال مشاحةَ أن,"It is incontestable that, indisputably...",لا يُمكن إنكار أنَّه، بلا شك...
ال مشاحةَ في ذلك,That is incontestable,ذلك لا يُمكن جَداله
ال مَعْدَى عنه,"Inevitable, unavoidable, inescapable",حَتْمِي، لا مَفرّ مِنه، لا يُمكِن تَجَنُّبُه
ال مفر منه,"Unavoidable, inevitable",لا مَفر منه، حَتمي
ال مناصَ منه,"Inevitable, unavoidable",حَتْمِي، لا مَفَرّ مِنه
ال مندوحةَ له عن,"It is imperative for him, absolutely necessary for him",من الضروري للغاية بالنسبة له، لا غنى عنه بالنسبة له
ال مُن ْ صَرَفَ عنه,"Indispensable, inevitable",لا غِنى عنه، حَتْمي
ال مهرب منه,"Inescapable, unavoidable",لا مَفرّ منه، حَتميّ
ال موجبَ لِـ,"There is no reason for, one need not",لا داعي لـ
ال ناقة لي في األمر وال جمل,"I have no hand in this matter, I have nothing to do with it",ليس لي يد في هذا الأمر، ليس لي علاقة به.
ال نَدحَةَ عنه,"It is indispensable, inevitable",إنه لا غنى عنه، لا مفر منه
ال نزاع فيه,"Undisputed, unquestioned",لا جِدال فيه، غير قابِل للنِقاش
َال ن ُ كران,It is incontestable,لا يُمكن الجَدل فيه
ًال نهتز له كثيرا,"This won’t affect us greatly, this is not likely to disconcert us, this will hardly cause us any headache",هذا لن يؤثر علينا بشكل كبير، من غير المحتمل أن يربكنا، بالكاد سيسبب لنا أي صداع.
ال وجه له من الصحة,It has no validity at all,ليس له أي صِحَّة على الإطلاق
(ال وزن له )عديم الوزن,"Imponderable, insignificant, of no consequence, negligible",غير قابل للقياس، غير مهم، بلا أهمية، ضئيل
ال يأخذ الكَرَى بمعقد جفنه,No slumber closed his lids,لم يُغمِض النُعاس جفونه
ال يألو,"To stop at nothing, be tireless in doing something",ألا يتوقف عند أي شيء، وأن يكون بلا كلل في القيام بشيء ما
ال يألو جهدا ً في,"He will go to any length, he spares no effort, goes out of his way for",سَيَفعل أي شيء، لا يَدَّخِر جُهدًا، يَذهب إلى أبعد الحُدود من أجل
ًال يألوه نُصْحاً وإرشَادا,He never lets up giving him advice and guidance,إنه لا يتوقف أبداً عن تقديم النصائح والإرشادات له.
ًال يألوها إسعادا,He is constantly striving to make her happy,إنه يسعى باستمرار لجعلها سعيدة.
ال يبالي,"Unconcerned, careless",غير مُبَالٍ، مُهْمِل
ًال يبتغون عنه حِوَال,"They don’t want it otherwise, they ask for it",لا يريدون ذلك بطريقة أخرى، هم يطلبونه
ُال يُبَرَّر,Unjustifiable,غير مبرر
. . . ال يبعد أن,It is not unlikely that...,ليس من المستبعد أن...
ال يبيّض من صحيفته,This doesn’t show him in a favourable light,هذا لا يُظهِره في صورة إيجابية
ُال يتصوره العقل,"Unimaginable, inconceivable, unthinkable",لا يُصَدَّق، لا يُتَصَوَّر، لا يُفَكَّر فيه
ال يتطرق إليه شك,"Not open to doubt, admitting no doubt",لا يَقبَل الشَكّ
ال يتعاظمه شأن العدو,The enemy’s importance does not unduly impress him,أهمية العدو لا تُؤثِّر عليه بشكلٍ مُبالَغ فيه.
ال يتفق ومبادئَهم,It is not in agreement with their principles,إنه لا يتوافق مع مبادئهم
ُال يُثَمَّن,"Invaluable, priceless",لا يُقَدَّر بثمن
ال يجد مفيضا ً إلى الكالم,He can’t find an opportunity to speak freely,لا يستطيع أن يجد فرصة للتحدث بحرية.
ال يجد مفيضا ً من,He must by all means,يجب عليه بكل الوسائل
ال يُجدِي شَرْوَى نقير,It is of no use at all,لا فائدة منه على الإطلاق
ًال يجدي فتيال,It is of no use at all,لا فائدة منه على الإطلاق
ًال يُجديك فتيال,He can’t think of a blessed thing to say,لا يستطيع أن يفكر في شيء مبارك ليقوله
ال يجرّ لسانَه بكلمة,He won’t let a word escape his lips,لن يدع كلمة تفلت من شفتيه
ال يجوز نقضه,"(It is) no longer open to an appeal, incapable of revision, legally valid final (sentence)",لم يَعُد قابلاً للاستئناف، غير قابل للمراجعة، حكم نهائي صالح قانونياً
ال يحب الخيرَ له,"He doesn’t want him to be happy, he grudges him everything",هو لا يريد له أن يكون سعيدًا، يحسده على كل شيء.
ًال يحرّك ساكنا,"He doesn’t budge, he doesn’t lift his finger, he remains immobile",لا يتحرك، لا يرفع إصبعه، يبقى ثابتًا.
. . . ال يُحسِن أن,"He is not capable of, he is not able to...",هو غير قادر على...
ال يُحْصَى,Innumerable,لا يُحصى
ال يخرج عن,"It is limited to, it is nothing but",يَقتَصِر على، لا يَزيد عن
. . . ال يخفى أن,"It is well known that, as everybody knows, it is obvious that...",من المعروف أن، كما يعلم الجميع، من الواضح أن...
ال يخفى عليك,You know very well...,أنت تعرف جيدًا...
ال يخلو من جمال,It is not without a certain beauty,إنه ليس بدون جمال معين
ال يخلو من فائدة,It is not quite useless,إنه ليس عديم الفائدة تمامًا
ال يخلو من مبالغة,It is slightly exaggerated,إنه مُبالَغ فيه بعض الشيء
ال يدخل تحت الحصر,"Immeasurable, innumerable",لا يُقَدَّر، لا يُحصى
ال يدخل في حيّز المعقول,It is not within the bounds of reason,إنه ليس ضمن حدود العقل
ال يرى حرجا ً من,"He feels no hesitation about, will not hesitate to, he doesn't see a problem with...",لا يشعر بأي تردد بشأن، لن يتردد في، لا يرى مشكلة في...
ًال يساوي ملءَ أذنه نخالة,He wasn’t worth a plug nickel,لم يكن يستحق فلساً واحداً
ُال يُستَبْعَد,"It is not inconceivable, not improbable",ليس من المستحيل، وليس من غير المحتمل
ال يُستَغ ْ نَى عنه,Indispensable,لا غِنى عنه
ٌال يستقر له قرار,"To be restless, undecided",أن تكون قَلِقًا، مُتَرَدِّدًا
ال يستهان به,"Not to be sneezed at, not to be overlooked",لا يُستهان به، لا يُغفَل عنه
ال يسعنى أن أقول,I cannot say,لا أستطيع أن أقول
ال يُشَقُّ غبارُه,"He is unsurpassable, he is incomparable, there is no one like him he is unequalled, unrivalled, peerless",هو لا يُضاهى، هو لا يُقارن، لا يوجد مثله، هو لا يُساوى، لا يُنافَس، لا نظير له.
