Idiom,Meaning,Meaning_trans
نحوا ً من,"Approximately, circa (with following figure)",تقريبًا، تقريبًا (مع الشكل التالي)
نَدِى الكف,"Open-handed, liberal",متحرر ومفتوح اليدين
نذر على نفسه,"To vow to oneself, make the solemn pledge to...",أن يقسم المرء على نفسه ويقطع على نفسه عهدًا رسميًا بـ
. . . نذرت هلل أن,"I vow to God that, I swear by God that...",أقسم بالله، أقسم بالله أن...
نرجع إلى ما نحن بصدده,We return to what is our present concern or to what we are just discussing,نعود إلى ما هو شاغلنا الحالي أو إلى ما نحن بصدد مناقشته للتو
نز ّ له عن العرش,"To dethrone, depose",لخلع أو عزل
نزا به قلبه إلى,"To long, yearn for",الشوق، والحنين إلى
نزح به,"To emigrate, be away from home, live abroad",أن تهاجر وتبتعد عن وطنك وتعيش في الخارج
نزر الحديث,"Taciturn, of few words",قليل الكلام، قليل الكلام
نزر قليل,Tiny amount,كمية صغيرة
نزع السالح,Disarmament,نزع السلاح
نزع منه نازع إلى,"He felt a desire for, he discovered his inclination to",شعر برغبة في، اكتشف ميله إلى، اكتشف ميله إلى
نزغ الشيطان,Insinuations of the devil,تلميحات الشيطان
ن ُ زِفَ دَمُه,"To lose much blood, bleed (to death)",فقدان الكثير من الدم، والنزيف (حتى الموت)
ِّنزل إلى البَر,"To disembark, go ashore, land",النزول والنزول إلى الشاطئ والهبوط على اليابسة
نزل إلى الحضيض,To sink low (fig.),أن تغرق منخفضة (شكل)
نزل إلى الميدان,To take the field,لأخذ الميدان
نز ّ ل درجَته,"To demote someone, reduce someone in rank",لتخفيض رتبة شخص ما، خفض رتبة شخص ما
نزل ضيفا ً على,"To avail oneself of s.o’.s hospitality, stay as a guest with someone",للاستفادة من كرم الضيافة، الإقامة كضيف لدى شخص ما
نزل على حكمه,"To defer, give in, yield, submit to someone",الإذعان والاستسلام والخضوع والخنوع والخنوع لشخص ما
( نزل عند )طلبه، رغبته,"To comply with, or fulfil, someone’s wish or demand",الامتثال لرغبة أو طلب شخص ما أو تحقيقه
نزل عند إرادته,"To defer to someone’s will, do someone’s bidding",الإذعان لإرادة شخص ما، وتنفيذ أوامر شخص ما
نزل من عيني,I lost all respect for him,فقدت كل احترامي له
ًنزل منزال,"To occupy a place or position, get to a place or position",لاحتلال مكان أو موقع، الوصول إلى مكان أو موقع ما
نزل منزلة فالن,"To hold the position of, serve as",لشغل منصب، العمل كـ
نزل منزله الالئق,To occupy one’s due place,أن يحتل المرء المكانة التي يستحقها
نزوال على,In accordance with,وفقًا لـ
نزوال عند رغبته,In compliance with his wish,امتثالاً لرغبته
نزوال عند طلبه,In compliance with his demand,امتثالاً لطلبه
نسبة الموت,Death rate,معدل الوفيات
(نسبة ً إلى (لِـ( )بالنسبة إلى,"In respect to, with regard to",فيما يتعلق بـ
نسبة مئوية,Percentage,النسبة المئوية
نسج على منواله,"To imitate someone, walk in someone’s footsteps, act like someone",أن تقلد شخصًا ما، أن تسير على خطى شخص ما، أن تتصرف مثل شخص ما
ًنَسَقا,"In regular order, in rows",بالترتيب المنتظم، في صفوف
ًنشأ نشؤاً ذاتيا,"To start by itself, arise spontaneously",أن تبدأ من تلقاء نفسها، تنشأ تلقائيًا
ًنشر دينا,To propagate a religion,نشر الدين
نشط من عقاله,"To be freed from one’s shackles, be unfettered",أن يتحرر المرء من أغلاله ويتحرر من قيوده
نش ّ ف ريقَه,"To toil hard, to pester someone",الكدح في العمل الشاق، مضايقة شخص ما
ًنصاً وروحا,In letter and spirit,نصاً وروحاً
ن ُ صْبَ عيني,Before my eyes,أمام عيني
َنصب له الحرب,To declare war on someone,إعلان الحرب على شخص ما
ًنصب له شركا,"To lay a trap for someone, trap someone",نصب فخ لشخص ما، والإيقاع بشخص ما
( ً نصب له شَرَكا ً )فخا,To set a trap for someone,لنصب فخ لشخص ما
ًنصب له كمينا,"To set a trap for someone, to prepare an ambush for someone",لنصب فخ لشخص ما، لإعداد كمين لشخص ما
ًنصب مكيدة,"To hatch a plot, devise a clever plan",لتدبير مؤامرة، وضع خطة ذكية
نَصَبُوا أنفسَهم لِـ,"They made every effort in order to, they struggled hard to",لقد بذلوا كل ما في وسعهم من جهد في سبيل ذلك، لقد كافحوا بجد من أجل
نِصف الك ُ رة,Hemisphere,نصف الكرة الأرضية
نصف شهري,"Fortnightly, biweekly",كل أسبوعين، كل أسبوعين
نضا عن نفسه,To get undressed,خلع الملابس
نطاق الجوزاء,Orion’s Belt,حزام أوريون
نطق بالحكم,Pronouncement of sentence,نطق الجملة
نطق بكلمة,To say a word,لقول كلمة
نظ ّ ارة مكبّرة,Magnifying glass,عدسة مكبرة
النظام العام,Public order,النظام العام
نظام المرور,Traffic laws,قوانين المرور
نظر (في) القضية,To tray a case (juristic),رفع دعوى (فقهية)
نظر إليه بعين االحتقار,"To regard someone with contempt, look down on someone",أن تنظر إلى شخص ما بازدراء، أن تنظر إلى شخص ما بازدراء
نظر إليه بعين االلتفات,To give something sympathetic consideration,لإعطاء شيء من التعاطف والاهتمام
ًنظر إليه شَزرا,"To give someone a sidelong glance, look askance at someone",أن ترمق شخصًا ما بنظرة جانبية أو تنظر إليه بريبة
ٍ نظر إليه عن عُرض,"He looked askance at him, he gave him a slanting glance (contemptuously)",ونظر إليه بريبة ونظر إليه نظرة مائلة (بازدراء)
نظر برضى,To look with satisfaction,للنظر بارتياح
نظر بعين الغيب إلى,"To foresee, foreknow, divine something",للتنبؤ، التنبؤ، التنبؤ، التكهن بشيء ما
نظر شَز ْ را ً إلى,"To look askance, glare distrustfully, angrily or malignantly at someone",النظر بريبة أو التحديق في شخص ما بريبة أو بغضب أو خبث
نظر في طلب فالن,To process someone’s application,لمعالجة طلب شخص ما
( نظر من فرجة المفتاح )فوهة المفتاح,To peep through the keyhole,لاختلاس النظر من ثقب المفتاح
نظرا ً إلى,"In view of, with respect to",في ضوء، فيما يتعلق بـ
ٍ نظرات كلها معان,"Telling glances, glances full of meaning",نظرات موحية ونظرات مليئة بالمعاني
. . . نظرة ٌ يسيرة ٌ خليقة ً أن ت ُ قنِعَنا بأن,No more than a quick glance is apt to convince us that...,لا يمكن أن تقنعنا أكثر من لمحة سريعة...
نظرية الكم,Quantum theory (physics),نظرية الكم (الفيزياء)
نعشة الموت,"Euphoria, death song, swan song",النشوة، أغنية الموت، أغنية البجعة، أغنية البجعة
ٌنِعمَ الرجلُ زيد,What an excellent man Zayd is!,يا له من رجل ممتاز زيد!
نِعمَ الشبابُ شبابُهم,What a wonderful youth they have!,يا له من شباب رائع!
نَعِمَ باال ً بِـ,To feel serene and confident about,أن تشعر بالسكينة والثقة تجاه
