Idiom,Meaning
ليّن العريكة,"mild-mannered, gentle-hearted"
ل َ يِّن المكاسر,"Soft, gentle"
ليونة الجانب,"Sociability, tractability"
ما,What?
ما – طرفة عين,Not one moment
ما (لحظة) عين – طرفة,Not one moment
ما أبالي,I don’t care! I don’t mind!
ما أجمله,How handsome he is!
ما أحسنَه,How good he is! How handsome he is!
. . . ما أحوجه إلى,How much he stands in need of...! How urgently he needs...!
ما أحياله,"Oh, how sweet is..., oh, how sweet he is!"
ما أ ُ حَيْل َ ى,"Oh, how sweet is..., oh, how sweet he is!"
ما أخفه من حمل,What a light burden it is!
ما أسرعَ أن رأيته,"Before long I saw him, it did not take very long before I saw him"
ما أسع ذلك,I can’t do that
ٍما أشار بطرْف,He didn’t bat an eye
ًما أغنى عنه شيئا,"To be of no use, be of no avail to someone"
ما أفضل عمر,How excellent Omar is!
( ً ما اكتحل غِمَاضا ً )غ ُ مضا,To find no sleep
ما الحِيلة,What’s to be done?
ما العمل اآلن,What’s to be done now? What can you do?
ما إن,Not (negation)
ما إن . . . حتى,"No sooner had he... than, he had hardly... when"
ما أنت وذاك,What’s that to you? What has that to do with you? What do you know about that?
ما أنزل هللا به من سلطان,"Futile, vain, preposterous"
( ما أنس )ال أنسى، إن أنس، فال أنسى,I shall never forget
ما أهونه,"How small, how worthless it is!"
ٍما بالدار نافخ ضَرمَة,There is not a soul in the house
ما بالك؟,How about you? What do you think?
ما باله؟,Why is it that he...?
ًما بَرِحَ غنيا,He is still rich
ما بَرِحَ في,He is still in
ما به الحاجة,The essentials
ٌما بِيَدِي حيلة,"I can do nothing, I can get nowhere"
ما بين النهرين,Mesopotamia
. . . ما بين أيدينا من,What... are before us or present themselves to us
ما بين جنبيه,"What it contains, comprises, its contents"
ما بين جوانبهم,Their hearts
ما بين يوم وليلة,"Overnight, all of a sudden"
ما ترك مجاال ً للشك,To admit of no doubt
ما تعمد بإهانة,"He was not out to insult her, he had no intention of offending her"
ما تلوكه األلسن,"What people say, what is generally rumoured"
ما تمالك عن,"He couldn’t help (doing something), he couldn’t refrain from"
ما جرت به الليلة,"What the night brought, what happened in the night"
ما جَنَت ْ يَدَاه,The crime that he has committed
ما خطب ذلك؟,What’s it all about?
ما خطبُك,What’s happened to you? What’s the trouble? What’s the matter with you?
ما خطبه في,What concern of his is...? What has he to do with...?
ما خال,"Except, with the exception"
ًما دمت حيا,As long as I live
ًما رأى مانعا,To have no objections
ما رأيت من الكتب,The books that I have seen
ما رأيت من كتب,Whatever books I have seen
ًما زاد الطينَ بِلَّة,What made things even worse...
ما زال على عهده,"To be unchanged, be as always"
ما زال في الوقت فسحة,There is still time
ما زلت أنت كعهدي بك,You are still the same!
ما شأنك وهذا,What have you got to do with this? What business of yours is this?
ما شأنك؟,What’s the matter with you? What do you want?
َما شأن َ ه واألمر,What has he got to do with the matter?
ما شأني في ذلك,What have I got to do with that? What business of mine is that?
ما شب (لم يشب) عن الطوق,To be still in its infancy
. . . ما شعر إال بِـ,"Before he even realised it, there was all of a sudden, then all of a sudden, there was, it happened that..."
. . . ما شعر إال و,"Before he even realised it, there was all of a sudden, then all of a sudden, there was, it happened that..."
ما شقّ غبارَه,He never quite attained his (another’s) eminence
ٍما صَغَرَنِي إال بسَنَة,He was only one year younger than I
ما ضَنَّ بِمَشَق َّ ةٍ عَل َ ى,To shun no effort for the sake of
ما ظنك بِـ,What is one to think of
ما عبأ بِـ,"Not to care about, not give a hoot for, pay no attention to, attach no importance to, not to insist on"
. . . ما عت ّ م أن,"It does not (did not) take long until, before long, presently..."
. . . ما عَجَزَ عن أن,Not to fail to...
ما عدا,"Except, save, with the exception of, excepting"
ما عسى ينفعُ هذا,Of what use could this possibly be?
ما عليك من,"Don’t worry about, don’t mind, don’t give... a thought"
ما علينا,What of it? What does it matter? Let’s forget it!
. . . ما عليه أن,"He doesn’t care if, it’s of little importance to him..."
ما عندك,What do you think? What is your opinion?
ما عنه محيص,It is unavoidable
ما فاز بطائل,"To fail, to be unsuccessful, to accomplish nothing"
ما فتئ يفعل,"Not to cease doing, do incessantly"
ُما قدّمتُ وما أخّرت,What I have ever committed
ما قدّمت ْ يدَاك,What you have committed or perpetrated
ما كاد يقوم,No sooner had he got up
. . . ما كان له أن,"It is (or was) impossible for him to, he is (or was) unable to..."
ما كان من إمضاء المعاهدة,"The fact that the agreement has been signed, the agreement having been signed"
. . . ما كان منه إال أن,"He had no other choice but to, there was nothing for him to do but to, he did no more than..."
ما كان منهم في,"To what extent they were involved in, what part they played in"
َما كذ ّ ب أن ف َ عَل,He did not hesitate to do so
ما كسبت يداه,What he has earned in the hereafter by his (good and evil) deeds
(ما لبث (لم يلبث) أن . . . )حتى,"It did not take long before he, presently he..."
ما لديك,"The condition you are in, your state of mind"
ما لك,What’s the matter with you? What is it?
ما لك، ما لي,"Why? Wherefore? What... for? Why should I, (you...)? (with following verb)"
ما هلل من شريك,God has no partner
ما لم,"So long as, not, unless"
ما له آخر,"Endless, infinite"
ما له ثاغية وال راغية,"He has absolutely nothing, he is deprived of all resources"
ما له عنه غنى,"He cannot dispense with it, he cannot do without it"
ما له وما عليه,"His right and his duty, his credit and his debit, his assets and his liabilities"
ما لي بذلك يدان,That is not in my power
ما معكم,What do you have with you! What’s up your sleeve!
ما ملكت (تملك) يمينه,"His fortune, his possessions, his property"
ما من أحد يقدر,Nobody can...
ما من شخص,There is absolutely none who...
ٍما نَبَسَ بكلمة,He didn’t say a word
ما هكذا ت ُ ؤكَل الكتف,That’s certainly not the way to do it! That’s no way to handle it!
ما هَنِئَ بِـ,"To be delighted, take pleasure"
ما وأتتني الفرص,Whenever I had a chance
. . . ما وجد غضاضة ً في,"To take no offence at, have no objection to..."
ما وراء األ َ كَمَة,"What is at the bottom of it, what’s behind it"
ما وراء البحر,Overseas
ما وراء الطبيعة,"The supernatural, the transcendental"
ما وراء الوعي,The subconscious
ما وعدت ُ به فيما بيني وبين نفسي,What I had promised myself
ما يبدئ وما يعيد,He can’t think of a blessed thing to say
ما يُجديك عنك هذا,He can’t think of a blessed thing to say
ُما يجري عليه العمل,"The way things are handled, what is customary practice"
ما يجول في (بِـ) خاطره,"What he is preoccupied with, what is on his mind"
ما يُشَارُ إليه بالبَنَان,"S.th. very remarkable, something outstanding"
ما يُضحِكُ الث َّ ك ْ ل َ ى,Irresistibly comical
َما يفتح الشهية,Appetising
. . . ما يقرب من,"Approximately, about, circa (with following figure)"
ما يلي,"The following, what follows"
ما يلي البدنَ من المالبس,"Underwear, underclothes"
ما ينجلي عنه األمر,"The outcome of the matter, what will come out of it"
ما ينوف على الخمسين,More than fifty
ما يُنِيف على ثالث سنوات,"More than three years, over three years"
ماء الشباب,Prime of youth
ماء الوجه,"Honour, dignity"
ماء عذب,Fresh water
ماء مُكَرَّس,Holy water (Christian)
ًمات جوعا,To starve to death
مات حتفَ أنفه,He died a natural death
مات عن تركة كبيرة,He died leaving a large fortune
مات عن ثمانين سنة,He died at the age of eighty
مات فدىً للوطن,He died for his country
مآثر,"Exploit, feat, glorious deed, memorable events, achievements (handed down from the past)"
ماثل أمام عينيه,Present before someone’s eyes
ماثل في حضرته,"In front of someone, in someone’s presence"
ماثل للعيان,"Visible, conspicuous, evident, obvious"
ماثله بعضَ المماثلة,"He resembled him somewhat, to some extent"
المأخذ األقرب,"The simplest, easiest approach"
مأخوذ به,"In force, valid"
